"subject"	"cond"	"time_total"	"cong_correct"	"incong_correct"	"total"
257	3	3360	16	8	24
305	3	2303	12	13	25
321	3	1138	25	18	43
285	3	2999	16	9	25
330	0	904	35	0	35
334	0	723	25	30	55
337	3	637	16	13	29
340	2	523	39	2	41
322	0	1554	39	1	40
339	1	819	20	10	30
329	3	1377	38	37	75
333	3	1188	31	11	42
332	2	1309	18	15	33
315	1	2696	38	2	40
331	1	1407	29	13	42
344	2	742	16	3	19
342	0	1152	29	4	33
346	0	787	6	22	28
348	2	839	35	3	38
345	3	1145	29	10	39
343	1	1828	8	31	39
349	3	916	30	27	57
354	0	698	31	27	58
347	1	1784	21	18	39
356	2	390	35	1	36
355	1	1189	21	17	38
358	0	894	36	35	71
359	1	1123	31	30	61
361	3	929	21	15	36
362	0	1002	30	8	38
454	0	421	40	1	41
364	2	768	29	0	29
474	0	401	38	0	38
372	2	823	23	2	25
492	2	397	31	0	31
384	2	852	24	17	41
436	2	682	26	38	64
458	0	611	38	31	69
366	0	909	24	21	45
450	0	751	20	24	44
389	3	1012	27	26	53
400	2	972	35	34	69
408	2	939	24	17	41
485	3	666	21	19	40
401	3	1012	15	18	33
380	2	1093	39	2	41
381	3	1118	31	33	64
480	2	803	22	25	47
429	3	1025	29	26	55
411	1	1107	32	28	60
406	0	1119	29	0	29
420	2	1098	14	23	37
444	2	1031	20	17	37
532	2	588	8	6	14
452	2	1011	38	1	39
488	2	869	29	10	39
425	3	1134	38	1	39
410	0	1199	33	33	66
428	2	1145	27	8	35
521	3	708	31	29	60
413	3	1215	24	26	50
390	0	1325	36	32	68
451	1	1109	29	30	59
508	2	837	27	15	42
460	2	1099	35	35	70
456	2	1118	37	39	76
422	0	1246	20	10	30
504	2	908	11	7	18
528	2	760	13	6	19
500	2	939	20	13	33
540	2	708	5	8	13
491	1	1006	38	1	39
371	1	1445	32	32	64
467	1	1111	24	7	31
544	2	725	18	9	27
552	2	697	25	20	45
441	3	1306	36	38	74
383	1	1504	21	26	47
543	1	804	37	34	71
462	0	1224	22	17	39
584	2	559	40	1	41
445	3	1359	36	32	68
367	1	1607	31	9	40
440	2	1410	38	1	39
498	0	1197	21	23	44
478	0	1290	16	15	31
520	2	1063	25	15	40
481	3	1289	15	17	32
536	2	1010	18	18	36
475	1	1331	23	13	36
399	1	1680	23	15	38
453	3	1506	20	17	37
515	1	1169	31	35	66
461	3	1483	20	16	36
447	1	1549	26	19	45
509	3	1239	19	11	30
465	3	1443	12	7	19
588	2	748	33	21	54
365	3	1832	40	1	41
402	0	1740	37	30	67
363	1	1860	35	5	40
604	2	724	34	0	34
466	0	1489	27	23	50
546	0	1077	15	20	35
660	2	455	17	27	44
549	3	1074	29	21	50
525	3	1217	40	4	44
610	0	747	30	24	54
493	3	1428	25	11	36
506	0	1340	40	0	40
516	2	1283	17	17	34
527	1	1275	33	6	39
463	1	1604	33	37	70
459	1	1667	39	0	39
550	0	1174	23	28	51
501	3	1470	24	17	41
618	0	833	21	19	40
572	2	1073	6	4	10
562	0	1130	24	10	34
640	2	758	33	21	54
497	3	1570	38	29	67
548	2	1275	39	3	42
405	3	1969	28	27	55
560	2	1211	15	20	35
415	1	1957	37	36	73
571	1	1217	40	2	42
583	1	1157	17	8	25
619	1	1013	39	36	75
580	2	1176	27	28	55
608	2	1070	40	0	40
592	2	1146	16	9	25
448	2	1974	12	18	30
435	1	2018	32	36	68
600	2	1124	26	10	36
668	2	773	38	33	71
514	0	1660	28	0	28
625	3	1075	22	28	50
449	3	2014	22	20	42
585	3	1259	14	14	28
392	2	2250	30	28	58
470	0	1928	39	0	39
606	0	1194	29	15	44
656	2	943	20	18	38
559	1	1463	34	1	35
482	0	1920	20	29	49
538	0	1650	18	7	25
499	1	1884	33	34	67
494	0	1914	22	18	40
442	0	2161	25	13	38
648	2	1049	33	31	64
397	3	2326	27	22	49
513	3	1828	33	36	69
637	3	1148	39	1	40
522	0	1798	18	25	43
593	3	1373	31	27	58
591	1	1396	35	35	70
615	1	1324	32	35	67
496	2	2018	10	11	21
535	1	1800	29	29	58
473	3	2102	32	25	57
602	0	1388	19	10	29
530	0	1831	28	24	52
551	1	1713	24	21	45
570	0	1575	39	36	75
487	1	2090	28	28	56
519	1	1886	37	3	40
395	1	2461	12	2	14
490	0	2089	29	30	59
611	1	1408	23	13	36
567	1	1664	39	0	39
607	1	1469	35	35	70
484	2	2185	24	27	51
581	3	1631	11	27	38
612	2	1505	35	35	70
678	0	796	16	19	35
616	2	1502	14	1	15
605	3	1534	20	19	39
665	3	1210	30	32	62
495	1	2227	23	33	56
472	2	2331	28	8	36
635	1	1444	26	13	39
555	1	1895	40	1	41
565	3	1826	11	14	25
613	3	1594	36	28	64
679	1	743	33	28	61
479	1	2338	12	8	20
639	1	1473	23	28	51
388	2	2754	29	29	58
677	3	943	28	7	35
409	3	2682	17	18	35
419	1	2659	33	34	67
579	1	1840	21	14	35
662	0	1436	29	32	61
603	1	1738	36	37	73
657	3	1477	23	17	40
654	0	1503	22	16	38
423	1	2695	30	34	64
614	0	1736	29	22	51
542	0	2151	22	13	35
431	1	2704	22	30	52
595	1	1857	25	9	34
539	1	2248	37	0	37
586	0	1956	28	23	51
627	1	1798	22	17	39
374	0	3001	8	9	17
688	2	655	38	5	43
672	2	1450	28	31	59
638	0	1759	13	2	15
438	0	2833	33	8	41
587	1	2005	33	33	66
545	3	2305	20	13	33
686	0	770	33	30	63
537	3	2373	20	2	22
391	1	3098	16	10	26
696	2	543	19	13	32
667	1	1717	39	2	41
486	0	2777	33	31	64
566	0	2309	37	3	40
617	3	2170	39	1	40
517	3	2707	34	2	36
622	0	2164	40	0	40
533	3	2656	37	0	37
541	3	2647	14	15	29
650	0	2059	23	9	32
379	1	3393	35	33	68
669	3	1971	17	19	36
561	3	2581	26	29	55
684	2	1256	22	27	49
655	1	2136	38	36	74
651	1	2188	16	17	33
685	3	1297	39	0	39
700	2	700	18	20	38
503	1	3132	22	25	47
547	1	2859	25	23	48
620	2	2481	14	18	32
675	1	1976	33	26	59
674	0	2055	23	17	40
646	0	2424	32	36	68
511	1	3211	22	16	38
689	3	1407	18	4	22
407	1	3665	25	9	34
575	1	2834	9	8	17
659	1	2430	25	26	51
692	2	1353	21	22	43
641	3	2570	27	3	30
594	0	2807	39	0	39
426	0	3713	22	26	48
404	2	3788	26	11	37
643	1	2706	25	30	55
375	1	4003	18	16	34
568	2	3089	22	20	42
687	1	1692	35	32	67
681	3	2001	25	12	37
455	1	3831	39	4	43
421	3	3963	8	10	18
526	0	3489	25	24	49
704	2	1098	20	17	37
709	3	805	9	5	14
682	0	2017	18	27	45
569	3	3259	2	9	11
502	0	3743	8	4	12
711	1	810	31	29	60
705	3	1230	36	29	65
631	1	3109	18	7	25
710	0	1031	38	1	39
573	3	3496	8	11	19
524	2	3801	13	11	24
597	3	3389	30	27	57
385	3	4468	14	7	21
557	3	3660	19	4	23
649	3	3170	18	16	34
702	0	1522	23	12	35
434	0	4349	9	10	19
386	0	4612	17	15	32
716	2	992	39	38	77
699	1	1950	20	15	35
653	3	3519	24	24	48
719	1	648	38	4	42
680	2	2909	20	23	43
658	0	3601	19	21	40
703	1	1989	22	7	29
609	3	3890	29	28	57
693	3	2572	38	1	39
712	2	1701	32	17	49
718	0	1048	27	30	57
708	2	1906	39	0	39
713	3	1601	39	0	39
717	3	1652	32	22	54
715	1	1920	39	0	39
629	3	4423	22	27	49
728	2	811	30	26	56
722	0	1187	37	2	39
670	0	4300	8	10	18
720	2	1889	13	18	31
734	0	620	38	1	39
701	3	3336	25	14	39
599	1	5236	31	26	57
731	1	1368	26	29	55
578	0	5738	22	18	40
740	2	563	20	14	34
738	0	1024	22	14	36
735	1	1475	13	14	27
727	1	2527	38	3	41
725	3	2608	29	27	56
742	0	830	39	2	41
721	3	3177	39	1	40
737	3	1771	26	19	45
694	0	5239	39	0	39
739	1	2400	22	9	31
471	1	8136	19	22	41
724	2	4136	24	15	39
518	0	8289	20	25	45
741	3	2650	25	11	36
750	0	802	37	0	37
748	2	1187	33	34	67
746	0	1504	34	2	36
752	2	908	18	10	28
743	1	2638	34	1	35
751	1	1169	35	3	38
745	3	2656	28	23	51
755	1	1219	39	0	39
758	0	734	30	30	60
765	3	1089	27	35	62
768	2	693	37	38	75
769	3	1196	36	36	72
762	0	2459	16	22	38
761	3	2618	33	29	62
766	0	2498	27	25	52
770	0	1357	23	18	41
773	3	931	21	20	41
775	1	346	22	17	39
777	3	769	1	33	34
759	1	5258	38	0	38
767	1	4285	36	2	38
776	2	1252	35	39	74
771	1	3199	19	16	35
780	2	586	33	33	66
779	1	1544	29	28	57
778	0	1872	35	16	51
781	3	1862	28	30	58
783	1	1611	28	26	54
784	2	1248	21	12	33
785	3	596	2	6	8
796	2	620	38	37	75
788	2	863	32	25	57
797	3	716	24	10	34
798	0	782	35	32	67
794	0	1157	31	5	36
787	1	1432	36	34	70
792	2	1531	29	20	49
801	3	984	39	0	39
789	3	1799	20	2	22
800	2	1256	35	0	35
799	1	1409	15	18	33
795	1	2024	31	32	63
791	1	2262	12	12	24
786	0	3077	24	6	30
802	0	1837	32	28	60
806	0	1038	27	28	55
805	3	1985	37	1	38
808	2	1085	30	30	60
807	1	1237	35	34	69
809	3	984	19	25	44
810	0	1483	30	33	63
812	2	710	36	36	72
813	3	4432	32	34	66
816	2	1365	39	37	76
814	0	3132	23	11	34
818	0	1091	32	23	55
817	3	2876	32	15	47
815	1	5360	4	7	11
