date,participant,gender,p0a1,p0a0,comment
20161213,41,M,18462,18487,
20161213,41,M,18472,18490,
20161213,41,M,18448,18455,
20161213,41,M,18440,18522,
20161213,42,M,18458,18685,
20161213,42,M,18431,18455,
20161213,42,M,18490,18646,
20161213,42,M,18448,18680,
20161213,42,M,18458,18578,
20161214,43,F,18529,18689,
20161214,43,F,18496,, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161214,43,F,18459,18505,
20161214,43,F,18435,18475,
20161214,43,F,18438,18482,
20161214,44,M,18393,18470,
20161214,44,M,18443,18406,
20161214,44,M,18417,18438,
20161214,44,M,18428,18583,
20161214,44,M,18412,18469,
20161214,45,F,18432,18573,
20161214,45,F,18492,18540,
20161214,45,F,18419,18431,
20161214,45,F,18472,18455,
20161214,45,F,18443,18454,
20161214,46,F,18440,18592,
20161214,46,F,18568,18491,
20161214,46,F,18553,18600,
20161214,46,F,,,program breakdown
20161214,46,F,,,program breakdown
20161214,47,F,18431,18511,
20161214,47,F,18399,18324,
20161214,47,F,18444,18509,
20161214,47,F,18441,18406,
20161214,47,F,18392,18402,
20161214,48,M,18764,18677,
20161214,48,M,18487,18604,
20161214,48,M,18569,18519,
20161214,48,M,18494,18479,
20161214,48,M,18517,18471,
20161214,49,F,18585,18551,
20161214,49,F,18601,18601,
20161214,49,F,18534,18575,
20161214,49,F,18573,18794,
20161214,49,F,18621,18604,
20161214,50,F,18784,18787,
20161214,50,F,18564,18830,
20161214,50,F,18561,18693,
20161214,50,F,18655,18773,
20161214,50,F,18519,18614,
20161214,51,F,18471,18526,
20161214,51,F,18494,18455,
20161214,51,F,18460,18482,
20161214,51,F,18452,18466,
20161214,51,F,18409,18444,
20161214,52,F,18513,18431,
20161214,52,F,18532,18536,
20161214,52,F,18488,18464,
20161214,52,F,18484,18569,
20161214,52,F,18529,18594,
20161214,53,F,18558,18616,
20161214,53,F,18446,18576,
20161214,53,F,18441,18543,
20161214,53,F,18502,19433,
20161214,53,F,18542,18616,
20161214,54,M,18570,18587,
20161214,54,M,18541,18660,
20161214,54,M,18512,18599,
20161214,54,M,18515,18585,
20161214,54,M,18522,18495,
20161215,55,M,18463,18443,
20161215,55,M,18452,18516,
20161215,55,M,18419,18495,
20161215,55,M,18439,18505,
20161215,55,M,18431,18475,
20161215,56,F,18744,18821,
20161215,56,F,18622,18724,
20161215,56,F,18675,18628,
20161215,56,F,18659,18545,
20161215,56,F,18566,18556,
20161215,57,M,18462,18531,
20161215,57,M,18453,18437,
20161215,57,M,18434,18439,
20161215,57,M,18382,18362,
20161215,57,M,18394,18386,
20161215,58,M,18669,18700,
20161215,58,M,18567,18615,
20161215,58,M,18594,18615,
20161215,58,M,18622,18631,
20161215,58,M,18549,18997,
20161215,59,F,18540,18802,
20161215,59,F,18603,18533,
20161215,59,F,18641,18638,
20161215,59,F,18536,18565,
20161215,59,F,18478,18513,
20161215,60,M,18579,18647,
20161215,60,M,18480,18496,
20161215,60,M,18449,18479,
20161215,60,M,18448,18446,
20161215,60,M,18438,18446,
20161215,61,F,18625,18729,
20161215,61,F,18503,18650,
20161215,61,F,18515,18548,
20161215,61,F,18596,18520,
20161215,61,F,18496,18531,
20161215,62,F,18701,18682,
20161215,62,F,18557,18486,
20161215,62,F,18472,18492,
20161215,62,F,,18445, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161215,62,F,18439,18729,
20161215,63,F,18647,18617,
20161215,63,F,18545,18911,
20161215,63,F,18466,18443,
20161215,63,F,18429,18546,
20161215,63,F,18472,18758,
20161215,64,F,18510,18565,
20161215,64,F,18502,18713,
20161215,64,F,18409,18448,
20161215,64,F,,18637, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161215,64,F,18485,18614,
20161215,65,F,18473,18994,
20161215,65,F,18419,18461,
20161215,65,F,18461,18513,
20161215,65,F,18445,18454,
20161215,65,F,18422,18477,
20161215,66,F,18506,, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161215,66,F,18299,18409,
20161215,66,F,18387,18396,
20161215,66,F,18394,18404,
20161215,66,F,18403,18433,
20161215,67,M,18535,18571,
20161215,67,M,18558,18833,
20161215,67,M,18515,18486,
20161215,67,M,18467,18652,
20161215,67,M,18463,18405,
20161215,68,F,18556,18650,
20161215,68,F,18516,18868,
20161215,68,F,18549,18443,
20161215,68,F,18441,18418,
20161215,68,F,18485,18474,
20161216,69,F,18685,18750,
20161216,69,F,18668,18985,
20161216,69,F,18668,18808,
20161216,69,F,18745,18946,
20161216,69,F,,,data missing (forgot to press the button)
20161216,70,M,18490,18618,
20161216,70,M,18618,18736,
20161216,70,M,18651,18594,
20161216,70,M,18553,18760,
20161216,70,M,18620,18763,
20161216,71,M,18493,18482,
20161216,71,M,18469,18503,
20161216,71,M,18469,18464,
20161216,71,M,18431,18447,
20161216,71,M,18474,18456,
20161216,72,M,18575,18741,
20161216,72,M,18459,18567,
20161216,72,M,18544,18495,
20161216,72,M,18463,18468,
20161216,72,M,18468,18465,
20161216,73,M,18564,18754,
20161216,73,M,18285,18602,
20161216,73,M,18407,18410,
20161216,73,M,18544,18432,
20161216,73,M,18439,18570,
20161216,74,M,18712,18701,
20161216,74,M,18598,18510,
20161216,74,M,18562,18510,
20161216,74,M,18574,18604,
20161216,74,M,18577,18605,
20161216,75,M,18523,18662,
20161216,75,M,18515,18528,
20161216,75,M,18473,19545,
20161216,75,M,18450,18480,
20161216,75,M,18462,18478,
20161216,76,M,18476,18496,
20161216,76,M,18463,18831,
20161216,76,M,18557,18446,
20161216,76,M,18542,18577,
20161216,76,M,18548,18467,
20161216,77,F,18641,18731,
20161216,77,F,18612,18601,
20161216,77,F,18619,18623,
20161216,77,F,18557,18584,
20161216,77,F,18648,18595,
20161216,78,F,18588,18488,
20161216,78,F,18431,18546,
20161216,78,F,18462,18556,
20161216,78,F,18457,18416,
20161216,78,F,18471,18502,
20161219,79,F,18499,18584,
20161219,79,F,18482,18489,
20161219,79,F,18497,18502,
20161219,79,F,18443,18602,
20161219,79,F,18384,18580,
20161219,80,F,18421,19115,
20161219,80,F,18555,18596,
20161219,80,F,18463,18784,
20161219,80,F,18559,18587,
20161219,80,F,19222,18610,
20161219,81,F,18448,18561,
20161219,81,F,18534,18434,
20161219,81,F,18598,18626,
20161219,81,F,18411,18509,
20161219,81,F,18550,18569,
20161219,82,M,18483,18425,
20161219,82,M,18492,18385,
20161219,82,M,18451,18463,
20161219,82,M,18418,18554,
20161219,82,M,18548,18392,
20161219,83,M,18600,18636,
20161219,83,M,,18803,data missing (forgot to press the button)
20161219,83,M,18497,18450,
20161219,83,M,18504,18599,
20161219,83,M,18454,18477,
20161219,84,F,18507,18673,
20161219,84,F,18466,18473,
20161219,84,F,18490,18450,
20161219,84,F,18422,18613,
20161219,84,F,18393,18457,
20161219,85,F,,18639, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161219,85,F,18470,18560,
20161219,85,F,18492,18651,
20161219,85,F,,18586, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds)
20161219,85,F,18441,18777,
20161219,86,F,18590,18557,
20161219,86,F,18545,18546,
20161219,86,F,18575,18603,
20161219,86,F,18526,18469,
20161219,86,F,18549,18531,
20161219,87,F,18512,18488,
20161219,87,F,18436,18465,
20161219,87,F,18429,18426,
20161219,87,F,18430,18484,
20161219,87,F,18533,18443,
20161219,88,M,18710,18736,
20161219,88,M,18684,18680,
20161219,88,M,18676,18655,
20161219,88,M,18695,18737,
20161219,88,M,18736,18624,
20161219,89,M,18674,18976,
20161219,89,M,18789,18938,
20161219,89,M,18549,18826,
20161219,89,M,18511,18562,
20161219,89,M,19481,18616,
20161219,90,F,18504,18454,
20161219,90,F,18436,18496,
20161219,90,F,18454,18428,
20161219,90,F,18446,18465,
20161219,90,F,18400,18403,
20161220,91,F,18463,18508,
20161220,91,F,18456,18497,
20161220,91,F,18434,18461,
20161220,91,F,18400,18421,
20161220,91,F,18420,18420,
20161220,92,F,18564,18514,
20161220,92,F,18532,18539,
20161220,92,F,18510,18553,
20161220,92,F,18443,18707,
20161220,92,F,18537,18582,
20161220,93,F,18432,18475,
20161220,93,F,18429,18432,
20161220,93,F,18458,18430,
20161220,93,F,18442,18461,
20161220,93,F,18436,18480,
20161220,94,F,18513,18648,
20161220,94,F,18526,18660,
20161220,94,F,18543,18552,
20161220,94,F,18459,18466,
20161220,94,F,18452,18457,
20161220,95,F,18600,18567,
20161220,95,F,18636,18531,
20161220,95,F,18551,18643,
20161220,95,F,18602,18491,
20161220,95,F,18434,18471,
