participant,date,gender,comment,p0a1.1,p0a1.2,p0a1.3,p0a1.4,p0a1.5,p0a0.1,p0a0.2,p0a0.3,p0a0.4,p0a0.5,mean_p0a1,mean_p0a0
60,20161215,M, ,18579,18480,18449,18448,18438,18647,18496,18479,18446,18446,18478.8,18502.8
61,20161215,F, ,18625,18503,18515,18596,18496,18729,18650,18548,18520,18531,18547,18595.6
62,20161215,F, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds),18701,18557,18472, ,18439,18682,18486,18492,18445,18729,18542.25,18566.8
63,20161215,F, ,18647,18545,18466,18429,18472,18617,18911,18443,18546,18758,18511.8,18655
64,20161215,F, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds),18510,18502,18409, ,18485,18565,18713,18448,18637,18614,18476.5,18595.4
65,20161215,F, ,18473,18419,18461,18445,18422,18994,18461,18513,18454,18477,18444,18579.8
66,20161215,F, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds),18506,18299,18387,18394,18403, ,18409,18396,18404,18433,18397.8,18410.5
67,20161215,M, ,18535,18558,18515,18467,18463,18571,18833,18486,18652,18405,18507.6,18589.4
68,20161215,F, ,18556,18516,18549,18441,18485,18650,18868,18443,18418,18474,18509.4,18570.6
69,20161216,F,data missing (forgot to press the button),18685,18668,18668,18745, ,18750,18985,18808,18946, ,18691.5,18872.25
70,20161216,M, ,18490,18618,18651,18553,18620,18618,18736,18594,18760,18763,18586.4,18694.2
71,20161216,M, ,18493,18469,18469,18431,18474,18482,18503,18464,18447,18456,18467.2,18470.4
72,20161216,M, ,18575,18459,18544,18463,18468,18741,18567,18495,18468,18465,18501.8,18547.2
73,20161216,M, ,18564,18285,18407,18544,18439,18754,18602,18410,18432,18570,18447.8,18553.6
74,20161216,M, ,18712,18598,18562,18574,18577,18701,18510,18510,18604,18605,18604.6,18586
75,20161216,M, ,18523,18515,18473,18450,18462,18662,18528,19545,18480,18478,18484.6,18738.6
76,20161216,M, ,18476,18463,18557,18542,18548,18496,18831,18446,18577,18467,18517.2,18563.4
77,20161216,F, ,18641,18612,18619,18557,18648,18731,18601,18623,18584,18595,18615.4,18626.8
78,20161216,F, ,18588,18431,18462,18457,18471,18488,18546,18556,18416,18502,18481.8,18501.6
79,20161219,F, ,18499,18482,18497,18443,18384,18584,18489,18502,18602,18580,18461,18551.4
80,20161219,F, ,18421,18555,18463,18559,19222,19115,18596,18784,18587,18610,18644,18738.4
81,20161219,F, ,18448,18534,18598,18411,18550,18561,18434,18626,18509,18569,18508.2,18539.8
82,20161219,M, ,18483,18492,18451,18418,18548,18425,18385,18463,18554,18392,18478.4,18443.8
83,20161219,M,data missing (forgot to press the button),18600, ,18497,18504,18454,18636,18803,18450,18599,18477,18513.75,18593
84,20161219,F, ,18507,18466,18490,18422,18393,18673,18473,18450,18613,18457,18455.6,18533.2
85,20161219,F, mistake (pressed the button before the earliest possible ball detection time  at 18.16 seconds), ,18470,18492, ,18441,18639,18560,18651,18586,18777,18467.6666666667,18642.6
86,20161219,F, ,18590,18545,18575,18526,18549,18557,18546,18603,18469,18531,18557,18541.2
87,20161219,F, ,18512,18436,18429,18430,18533,18488,18465,18426,18484,18443,18468,18461.2
88,20161219,M, ,18710,18684,18676,18695,18736,18736,18680,18655,18737,18624,18700.2,18686.4
89,20161219,M, ,18674,18789,18549,18511,19481,18976,18938,18826,18562,18616,18800.8,18783.6
90,20161219,F, ,18504,18436,18454,18446,18400,18454,18496,18428,18465,18403,18448,18449.2
91,20161220,F, ,18463,18456,18434,18400,18420,18508,18497,18461,18421,18420,18434.6,18461.4
92,20161220,F, ,18564,18532,18510,18443,18537,18514,18539,18553,18707,18582,18517.2,18579
93,20161220,F, ,18432,18429,18458,18442,18436,18475,18432,18430,18461,18480,18439.4,18455.6
94,20161220,F, ,18513,18526,18543,18459,18452,18648,18660,18552,18466,18457,18498.6,18556.6
95,20161220,F, ,18600,18636,18551,18602,18434,18567,18531,18643,18491,18471,18564.6,18540.6
