ID,ascending10otherwise,age,gender,Date,Condition,DS,AC,ACIR,ACSR,IR.1,IR.2,IR.3,IR.4,IR.5,IR.6,IR.7,IR.8,IR.9,IR.10,SR.1,SR.2,SR.3,SR.4,SR.5,SR.6,SR.7,SR.8,SR.9,SR.10,BeforeDV,AfterDV,DataCollection,ConditionFactor,Exc,difference,filter_$
LS218,0,19,1 Female,4/11/2017,Examining,1,Get weird,5,4,lemonade,chaos and the calm,i like it when you sleep for you are so,this is acting,get weird,a head full of dreams,in the lonely hour,delirium,anti,views,lemonade,chaos and the calm,i like it when you sleep for you are so,get weird,this is acting,a head full of dreams,in the lonely hour,delirium,anti,views,-1,-2,2,0,0,-1,0
LS219,1,18,2 Male,4/11/2017,Examining,1,Best of bowie,6,6,the very best of prince,blackstar,50,if i can dream,nothing has changed,best of bowie,legend,beauty behind the madness,lemonade,25,the very best of prince,blackstar,if i can dream,50,nothing has changed,best of bowie,legend,beauty behind the madness,25,lemonade,1,1,2,0,0,0,0
LS22,0,18,1 Female,11/29/2016,Using,1,I like it when you sleep for you are so,5,5,Chaos and the calm,Legend,Best of bowie,I cry when I laugh,I like it when you sleep for you are so,Blurry face,1989,Delirium,The very best of prince,Nine track mind,Chaos and the calm,Legend,Best of bowie,Delirium,I like it when you sleep for you are so,Blurry face,1989,I cry when I laugh,The very best of prince,Nine track mind,-1,-1,1,1,0,0,1
LS220,1,18,1 Female,4/11/2017,Examining,1,In the lonely hour,5,5,i like it when you sleep for you are so,chaos and the calm,views,all over the world,in the lonely hour,lemonade,blurry face,best of bowie,purpose,anti,i like it when you sleep for you are so,chaos and the calm,views,all over the world,in the lonely hour,lemonade,best of bowie,blurry face,purpose,anti,-1,-1,2,0,0,0,0
LS221,1, , ,4/11/2017,Using,1,Get weird,5,7,this is acting,a head full of dreams,blurry face,i like it when you sleep for you are so,get weird,a moon shaped pool,legend,delirium,made in the am,the very best of prince,this is acting,a head full of dreams,blurry face,i like it when you sleep for you are so,a moon shaped pool,delirium,get weird,legend,made in the am,the very best of prince,-1,2,2,1,0,3,0
LS222,0,20,1 Female,4/11/2017,Using,1,In the lonely hour,6,4,25,anti,purpose,the very best of prince,this is acting,in the lonely hour,best of bowie,if i can dream,blurry face,a head full of dreams,25,purpose,anti,in the lonely hour,the very best of prince,this is acting,the best of bowie,if i can dream,blurry face,a head full of dreams,1,-2,2,1,0,-3,0
LS223,0,19,1 Female,4/11/2017,Using,1,X,5,5,lemonade,views,anti,beauty behind the madness,x,25,a head full of dreams,legend,blurry face,this is acting,lemonade,views,anti,beauty behind the madness,x,25,a head full of dreams,legend,blurry face,this is acting,-1,-1,2,1,0,0,0
LS224,0,24,[Decline to Answer],4/13/2017,Using,1,A head full of dreams,6,7,a moon shaped pool,chaos and the calm,charleur humaine,nine track mind,the very best of prince,a head full of dreams,blurry face,i like it when you sleep for you are so,beauty behind the madness,all over the world,a moon shaped pool,charleur humaine,nine track mind,chaos and the calm,i like it when you sleep for you are so,the very best of prince,a head full of dreams,blurry face,beauty behind the madness,all over the world,1,1,2,1,0,0,0
LS225,0,19,1 Female,4/13/2017,Using,1,X,6,3,views,lemonade,blurry face,beauty behind the madness,a head full of dreams,x,a moon shaped pool,made in the am,if i can dream,delirium,views,lemonade,x,blurry face,a moon shaped pool,a head full of dreams,beauty behind the madness,made in the am,if i can dream,delirium,1,-3,2,1,0,-4,0
LS226,0,19,2 Male,4/13/2017,Using,1,Best of bowie,5,3,if i can dream,legend,a head full of dreams,beauty behind the madness,best of bowie,nothing has changed,blackstar,1989,a moon shaped pool,in the lonely hour,if i can dream,legend,best of bowie,a head full of dreams,nothing has changed,blackstar,beauty behind the madness,1989,a moon shaped pool,in the lonely hour,-1,-2,2,1,0,-1,0
LS227,0,21,2 Male,4/13/2017,Using,1,A head full of dreams,5,4,this is acting,a moon shaped pool,delirium,beauty behind the madness,a head full of dreams,chaos and the calm,purpose,if i can dream,anti,lemonade,this is acting,a moon shaped pool,delirium,a head full of dreams,beauty behind the madness,anti,chaos and the calm,purpose,if i can dream,lemonade,-1,-3,2,1,0,-2,0
LS228,1,18,1 Female,4/13/2017,Using,1,This is acting,5,3,a head full of dreams,blurry face,anti,lemonade,this is acting,made in the am,delirium,purpose,i like it when you sleep for you are so,if i can dream,a head full of dreams,lemonade,this is acting,blurry face,anti,delirium,made in the am,purpose,i like it when you sleep for you are so,if i can dream,-1,-4,2,1,0,-3,0
