subjectID_all,subjectID_cond,condition,charityChoice,freqDonation,familiar_Water,male,female,age
154,77,1,1,4,1,1,0,20
155,78,0,1,2,1,1,0,22
156,79,0,0,4,1,0,1,19
157,80,0,1,1,1,0,1,19
158,78,1,1,5,1,0,1,18
159,79,1,1,4,4,0,1,20
160,80,1,1,2,1,0,1,19
161,81,1,1,2,4,0,1,18
162,81,0,0,2,1,1,0,21
163,82,0,0,4,1,1,0,20
164,83,0,0,4,1,1,0,20
165,84,0,1,4,1,0,1,20
166,82,1,1,1,1,0,1,20
167,85,0,1,1,1,0,1,20
168,83,1,1,2,1,0,1,20
169,84,1,1,2,3,0,1,21
170,86,0,1,2,1,1,0,21
171,87,0,0,2,1,0,1,21
172,85,1,1,4,3,0,1,22
173,86,1,1,2,1,1,0,18
174,87,1,1,2,1,0,1,22
175,88,0,0,3,1,1,0,23
176,89,0,1,4,2,1,0,21
177,88,1,0,1,1,1,0,19
178,90,0,0,4,1,0,1,19
179,91,0,1,2,1,0,1,21
180,89,1,1,6,2,1,0,24
181,92,0,0,3,1,1,0,22
182,93,0,0,3,3,1,0,22
183,90,1,1,4,1,1,0,21
184,91,1,0,1,1,0,1,20
185,94,0,0,2,2,1,0,20
186,95,0,1,4,1,0,1,21
187,92,1,1,2,1,0,1,21
188,96,0,0,5,1,1,0,21
189,97,0,0,1,2,0,1,21
190,93,1,1,2,1,0,1,20
191,94,1,0,2,1,0,1,19
192,95,1,1,2,2,0,1,21
193,98,0,1,1,1,0,1,18
194,99,0,0,3,1,0,1,18
195,96,1,1,4,1,0,1,22
196,97,1,1,3,1,1,0,20
197,100,0,1,4,1,0,1,19
198,98,1,1,2,1,0,1,21
199,99,1,1,4,1,0,1,19
200,100,1,1,2,1,1,0,20
201,101,1,1,2,1,0,1,18
202,101,0,1,6,5,1,0,21
203,102,0,1,1,1,1,0,21
204,103,0,0,2,1,0,1,20
205,104,0,1,2,1,1,0,21
206,105,0,1,2,1,0,1,21
207,102,1,1,2,1,0,1,19
208,103,1,1,2,1,0,1,20
209,104,1,1,3,1,0,1,20
210,105,1,0,3,1,0,1,19
211,106,0,0,2,1,0,1,19
212,107,0,1,4,1,1,0,21
213,108,0,0,2,1,0,1,21
214,106,1,1,3,1,0,1,21
215,107,1,1,3,1,1,0,21
216,109,0,1,4,1,1,0,21
217,108,1,1,2,1,0,1,20
218,110,0,1,4,1,0,1,18
219,111,0,1,4,1,0,1,19
220,109,1,1,1,1,0,1,21
221,112,0,1,1,1,1,0,22
222,113,0,1,2,1,1,0,19
223,110,1,0,4,1,0,1,22
224,111,1,1,3,1,0,1,22
225,114,0,0,3,1,1,0,19
226,112,1,1,1,1,0,1,21
227,115,0,0,3,1,1,0,56
228,113,1,1,1,1,0,1,21
229,116,0,1,4,1,0,1,20
230,114,1,0,4,1,0,1,19
231,117,0,0,2,1,0,1,21
232,115,1,1,1,1,1,0,18
233,116,1,0,3,1,0,1,20
234,118,0,1,2,1,1,0,19
235,119,0,1,2,1,0,1,18
236,117,1,1,2,1,0,1,21
237,118,1,1,1,1,1,0,18
238,120,0,1,2,5,0,1,18
239,119,1,1,2,1,0,1,20
240,121,0,1,3,1,1,0,20
241,122,0,0,5,1,0,1,21
242,123,0,1,1,1,1,0,20
243,120,1,1,2,1,0,1,18
244,124,0,0,4,1,1,0,26
245,121,1,0,5,1,0,1,19
246,122,1,1,2,1,0,1,21
247,125,0,0,1,1,1,0,21
248,123,1,1,5,1,0,1,21
249,126,0,1,1,1,1,0,19
250,127,0,1,2,7,0,1,21
251,124,1,1,2,1,0,1,18
252,125,1,0,2,3,1,0,20
253,128,0,0,4,2,1,0,20
254,126,1,1,4,1,0,1,18
255,129,0,1,2,1,1,0,18
256,130,0,1,4,1,0,1,21
257,127,1,1,5,1,1,0,18
258,128,1,1,2,1,1,0,20
259,129,1,0,2,1,0,1,18
260,130,1,1,1,1,0,1,21
261,131,0,1,4,1,1,0,19
262,131,1,1,5,1,1,0,20
263,132,0,0,3,1,0,1,20
264,132,1,0,2,1,1,0,18
265,133,0,0,6,1,0,1,18
266,134,0,0,3,1,0,1,20
267,133,1,1,2,7,0,1,22
268,135,0,0,2,1,1,0,18
269,134,1,0,2,1,0,1,22
270,136,0,1,1,1,0,1,20
271,137,0,0,1,1,1,0,19
272,138,0,1,2,1,1,0,19
273,135,1,1,2,1,0,1,20
274,136,1,0,4,1,0,1,23
275,137,1,1,4,5,0,1,20
276,139,0,0,3,1,0,1,22
277,138,1,1,6,1,0,1,22
278,140,0,1,1,1,0,1,23
279,141,0,0,4,1,0,1,20
280,142,0,0,2,1,1,0,44
281,139,1,1,1,1,0,1,21
282,143,0,0,1,4,1,0,19
283,144,0,1,3,2,0,1,18
284,140,1,1,1,1,1,0,19
285,141,1,1,2,1,1,0,20
286,142,1,1,1,1,0,1,22
287,145,0,0,1,1,0,1,21
288,143,1,0,1,1,0,1,20
289,146,0,0,1,1,0,1,20
290,147,0,0,5,7,0,1,18
291,144,1,0,1,1,0,1,21
292,145,1,1,2,4,0,1,22
293,146,1,1,5,4,0,1,21
294,148,0,1,3,1,0,1,21
295,149,0,1,2,1,0,1,18
296,147,1,0,2,4,1,0,21
297,150,0,1,4,1,0,1,22
298,148,1,0,3,1,0,1,19
299,149,1,1,2,1,0,1,18
300,151,0,1,5,1,1,0,20
301,150,1,1,1,1,0,1,20
302,151,1,1,2,4,0,1,20
303,152,0,1,3,3,0,1,22
304,153,0,1,4,1,0,1,21
305,154,0,0,4,1,0,1,21
306,152,1,1,4,4,1,0,20
307,153,1,0,2,1,0,1,21
