game,round,scoreA,scoreB,percentA,showScore,n_par,gini_all,gmd_all,cumulativePayoff_all,behavior_all,degree_all,trans_all
1,0,1150,200,0.3,true,15,0.408602150537634,422.222222222222,516.666666666667,NA,2.4,0.186666666663333
1,1,1150,200,0.3,true,15,0.303636363636364,445.333333333333,733.333333333333,0.866666666666667,3.33333333333333,0.24703703704
1,2,1150,200,0.3,true,15,0.221097046413502,465.777777777778,1053.33333333333,0.933333333333333,3.86666666666667,0.30454064454
1,3,1150,200,0.3,true,15,0.177254901960784,502.222222222222,1416.66666666667,0.866666666666667,4.06666666666667,0.33293169793
1,4,1150,200,0.3,true,15,0.157987421383648,558.222222222222,1766.66666666667,0.8,4.4,0.403136123136667
1,5,1150,200,0.3,true,15,0.13953488372093,600,2150,0.8,4.4,0.373710918713333
1,6,1150,200,0.3,true,15,0.124770642201835,634.666666666667,2543.33333333333,0.8,4.33333333333333,0.375046435043333
1,7,1150,200,0.3,true,15,0.130454545454545,765.333333333333,2933.33333333333,0.8,4.4,0.37667073667
1,8,1150,200,0.3,true,15,0.129108910891089,869.333333333333,3366.66666666667,0.933333333333333,4.8,0.394744884743333
1,9,1150,200,0.3,true,15,0.123902151488358,934.222222222222,3770,0.733333333333333,4.73333333333333,0.424190809186667
1,10,1150,200,0.3,true,15,0.134616412723871,1119.11111111111,4156.66666666667,0.8,5,0.4293051393
2,0,1150,200,0.3,false,15,0.408602150537634,422.222222222222,516.666666666667,NA,2.53333333333333,0.20547619048
2,1,1150,200,0.3,false,15,0.308802308802309,475.555555555556,770,1,4.26666666666667,0.316565656563333
2,2,1150,200,0.3,false,15,0.219127205199629,524.444444444444,1196.66666666667,1,5.6,0.40384874385
2,3,1150,200,0.3,false,13,0.158404558404558,493.491124260355,1557.69230769231,1,5.23076923076923,0.433391608396154
2,4,1150,200,0.3,false,13,0.118015071804351,491.12426035503,2080.76923076923,1,5.38461538461539,0.447416472411538
