game,round,scoreA,scoreB,percentA,showScore,n_par,gini_all,gmd_all,cumulativePayoff_all,behavior_all,degree_all,trans_all
1,0,500,500,0.5,true,24,0,0,500,NA,6.75,0.288135593220339
1,1,500,500,0.5,true,24,0.190249266862169,270.3125,710.416666666667,0.666666666666667,8.75,0.393171806167401
1,10,500,500,0.5,true,22,0.202410848819689,666.115702479339,1645.45454545455,0.0952380952380952,7.45454545454545,0.426584234930448
1,2,500,500,0.5,true,24,0.188788201847903,368.923611111111,977.083333333333,0.652173913043478,9.5,0.41486359360301
1,3,500,500,0.5,true,22,0.209620476610768,490.702479338843,1170.45454545455,0.571428571428571,8.54545454545454,0.446191051995163
1,4,500,500,0.5,true,22,0.194228719354347,527.066115702479,1356.81818181818,0.476190476190476,9,0.479467258601554
1,5,500,500,0.5,true,22,0.178041958041957,526.03305785124,1477.27272727273,0.285714285714286,8.90909090909091,0.454545454545455
1,6,500,500,0.5,true,22,0.175734791524266,531.198347107438,1511.36363636364,0.0952380952380952,8.45454545454546,0.454777070063694
1,7,500,500,0.5,true,22,0.186824769433465,585.95041322314,1568.18181818182,0.19047619047619,8.18181818181818,0.434370771312585
1,8,500,500,0.5,true,22,0.190647482014389,602.272727272727,1579.54545454545,0.0476190476190476,8.36363636363636,0.430830039525692
1,9,500,500,0.5,true,22,0.204418486541392,665.289256198347,1627.27272727273,0.142857142857143,7.63636363636364,0.417956656346749
10,0,500,500,0.5,false,19,0,0,500,NA,4.73684210526316,0.230769230769231
10,1,500,500,0.5,false,19,0.153910673097085,203.324099722992,660.526315789474,0.684210526315789,6.42105263157895,0.344
10,10,500,500,0.5,false,18,0.139414523694,1064.1975308642,3816.66666666667,0.823529411764706,10.1111111111111,0.733046286329386
10,2,500,500,0.5,false,19,0.163810101622934,299.168975069252,913.157894736842,0.833333333333333,8.21052631578947,0.52803738317757
10,3,500,500,0.5,false,19,0.199304230726069,491.96675900277,1234.21052631579,0.777777777777778,9.1578947368421,0.578947368421053
10,4,500,500,0.5,false,19,0.182694023193577,567.313019390582,1552.63157894737,0.666666666666667,9.26315789473684,0.613636363636364
10,5,500,500,0.5,false,19,0.184750521995825,710.803324099723,1923.68421052632,0.777777777777778,9.78947368421053,0.625
10,6,500,500,0.5,false,19,0.162592922985429,757.340720221607,2328.94736842105,0.777777777777778,9.89473684210526,0.644889357218124
10,7,500,500,0.5,false,18,0.175276323443863,929.938271604938,2652.77777777778,0.647058823529412,9.33333333333333,0.686346863468635
10,8,500,500,0.5,false,18,0.158847736625515,953.086419753086,3000,0.705882352941177,9.55555555555556,0.7
10,9,500,500,0.5,false,18,0.145111832611833,993.20987654321,3422.22222222222,0.823529411764706,9.33333333333333,0.706535141800247
11,0,700,300,0.5,true,19,0.203735144312394,199.445983379501,489.473684210526,NA,6,0.353503184713376
11,1,700,300,0.5,true,19,0.231928368639441,294.182825484765,634.210526315789,0.473684210526316,8,0.4375
11,10,700,300,0.5,true,19,0.280655464518817,1119.6675900277,1994.73684210526,0.157894736842105,8.10526315789474,0.494057724957555
11,2,700,300,0.5,true,19,0.213705404450724,335.180055401662,784.210526315789,0.368421052631579,8.42105263157895,0.479813664596273
11,3,700,300,0.5,true,19,0.246385193753615,472.02216066482,957.894736842105,0.421052631578947,8.42105263157895,0.49047619047619
11,4,700,300,0.5,true,19,0.234551083591332,524.653739612188,1118.42105263158,0.368421052631579,8,0.512690355329949
11,5,700,300,0.5,true,19,0.223840232993552,596.12188365651,1331.57894736842,0.526315789473684,8.10526315789474,0.524509803921569
11,6,700,300,0.5,true,19,0.221811118305429,664.265927977839,1497.36842105263,0.421052631578947,8.63157894736842,0.565789473684211
11,7,700,300,0.5,true,19,0.213889355977804,704.709141274238,1647.36842105263,0.368421052631579,7.89473684210526,0.505434782608696
11,8,700,300,0.5,true,19,0.244956772334294,894.736842105263,1826.31578947368,0.473684210526316,8.31578947368421,0.5
11,9,700,300,0.5,true,19,0.268363215731637,1028.25484764543,1915.78947368421,0.210526315789474,8.52631578947368,0.515337423312883
12,0,700,300,0.5,false,23,0.207419226166733,196.597353497164,473.913043478261,NA,6.8695652173913,0.33210332103321
12,1,700,300,0.5,false,22,0.229213846651569,292.768595041322,638.636363636364,0.5,7.81818181818182,0.408472012102874
12,10,700,300,0.5,false,19,0.264293828095418,773.407202216066,1463.15789473684,0.105263157894737,9.36842105263158,0.58343337334934
12,2,700,300,0.5,false,21,0.239316239316239,400,835.714285714286,0.523809523809524,8,0.436936936936937
12,3,700,300,0.5,false,20,0.229656862745099,468.5,1020,0.45,8,0.444444444444444
12,4,700,300,0.5,false,20,0.277837259100642,648.75,1167.5,0.4,7.9,0.422110552763819
12,5,700,300,0.5,false,20,0.308517034068137,769.75,1247.5,0.2,8.5,0.506224066390041
12,6,700,300,0.5,false,20,0.3052783109405,795.25,1302.5,0.15,8.3,0.529655172413793
12,7,700,300,0.5,false,20,0.284622467771639,772.75,1357.5,0.2,8.5,0.493827160493827
12,8,700,300,0.5,false,20,0.285326086956522,787.5,1380,0.1,9.1,0.536992840095465
12,9,700,300,0.5,false,19,0.264999515362994,757.340720221607,1428.94736842105,0,9.47368421052632,0.606235565819861
13,0,500,500,0.5,false,20,0,0,500,NA,5.3,0.370656370656371
13,1,500,500,0.5,false,18,0.127711376715361,178.086419753086,697.222222222222,0.833333333333333,6.44444444444444,0.383928571428571
13,10,500,500,0.5,false,17,0.163038443723947,1217.99307958478,3735.29411764706,0.75,11.1764705882353,0.777246653919694
