"Study"	"Condition"	"Contribution"	"Female"	"Age"	"control40"	"control0"	"experience"	"collection_stage"	"n_sentences"
8	"Intuition Bad"	0	0	27	"40"	"0"	3	1	9
8	"Reflection Bad"	10	0	27	"40"	"0"	3	1	8
8	"Intuition Good"	40	0	47	"40"	"0"	3	1	13
8	"Reflection Bad"	0	0	33	"40"	"0"	1	1	8
8	"Intuition Good"	40	0	38	"40"	"0"	3	1	11
8	"Reflection Bad"	10	0	26	"40"	"0"	2	1	10
8	"Intuition Good"	0	0	24	"40"	"0"	3	1	10
8	"Intuition Bad"	30	0	53	"40"	"0"	2	1	9
8	"Intuition Good"	40	0	25	"40"	"0"	3	1	10
8	"Intuition Good"	20	0	32	"40"	"0"	1	1	8
8	"Reflection Good"	40	0	28	"40"	"40"	3	1	9
8	"Reflection Bad"	0	0	29	"40"	"0"	2	1	8
8	"Intuition Good"	10	0	55	"40"	"0"	4	1	8
8	"Reflection Good"	0	0	33	"40"	"0"	5	1	12
8	"Reflection Bad"	0	0	36	"40"	"0"	1	1	9
8	"Reflection Bad"	20	0	44	"40"	"0"	3	1	10
8	"Intuition Good"	40	0	31	"40"	"0"	5	1	8
8	"Reflection Bad"	40	0	23	"40"	"0"	2	1	10
8	"Intuition Good"	0	0	45	"40"	"0"	3	1	8
8	"Intuition Bad"	20	0	48	"40"	"0"	4	1	10
8	"Reflection Good"	0	0	25	"40"	"0"	1	1	8
8	"Reflection Good"	20	0	31	"20"	"20"	1	1	9
8	"Intuition Good"	0	0	29	"40"	"0"	2	1	8
8	"Reflection Bad"	0	0	43	"40"	"0"	3	1	11
8	"Reflection Good"	40	0	47	"40"	"0"	5	1	9
8	"Reflection Bad"	0	0	34	"40"	"0"	4	1	10
8	"Reflection Bad"	40	0	33	"40"	"0"	3	1	10
8	"Reflection Bad"	0	0	31	"40"	"0"	3	1	10
8	"Intuition Good"	0	0	68	"40"	"0"	5	1	8
8	"Reflection Good"	0	0	52	"40"	"0"	5	1	9
8	"Intuition Bad"	0	0	37	"40"	"0"	2	1	9
8	"Intuition Good"	40	0	24	"40"	"0"	3	1	8
8	"Intuition Good"	30	0	18	"40"	"0"	2	1	10
8	"Intuition Good"	0	0	36	"40"	"40"	2	1	8
8	"Intuition Good"	40	0	44	"40"	"0"	1	1	9
8	"Intuition Good"	40	0	31	"40"	"40"	3	1	9
8	"Reflection Good"	40	0	30	"40"	"40"	3	1	10
8	"Reflection Good"	40	0	58	"40"	"0"	3	1	14
8	"Intuition Good"	0	0	32	"40"	"0"	2	1	11
8	"Intuition Good"	40	0	41	"40"	"0"	5	1	10
8	"Intuition Bad"	30	0	28	"40"	"40"	3	1	12
8	"Intuition Good"	0	0	24	"40"	"0"	1	1	10
8	"Intuition Good"	20	0	29	"40"	"0"	1	1	8
8	"Intuition Good"	20	0	64	"40"	"0"	3	1	8
8	"Reflection Bad"	40	0	25	"40"	"0"	4	1	8
8	"Reflection Bad"	0	0	25	"40"	"0"	2	1	10
8	"Intuition Good"	40	0	48	"40"	"0"	3	1	8
8	"Intuition Good"	8	0	29	"10"	"10"	1	1	9
8	"Reflection Bad"	20	0	28	"40"	"40"	2	1	8
8	"Intuition Good"	2	0	27	"40"	"0"	3	1	8
8	"Intuition Bad"	30	0	20	"40"	"0"	3	1	8
8	"Intuition Bad"	0	0	26	"40"	"0"	4	1	8
8	"Intuition Good"	40	0	42	"40"	"0"	3	1	10
8	"Reflection Good"	0	0	46	"40"	"0"	2	1	9
8	"Intuition Bad"	0	0	61	"40"	"0"	3	1	14
8	"Reflection Good"	40	0	50	"40"	"0"	3	1	9
8	"Reflection Bad"	0	0	38	"40"	"0"	4	1	11
8	"Intuition Bad"	40	0	30	"40"	"0"	4	1	8
8	"Intuition Good"	40	0	31	"40"	"0"	1	1	9
8	"Intuition Good"	40	0	32	"40"	"0"	3	1	27
8	"Intuition Bad"	0	0	40	"40"	"0"	1	1	16
8	"Intuition Bad"	0	0	31	"40"	"0"	3	1	8
8	"Reflection Bad"	40	0	46	"40"	"0"	4	1	9
8	"Reflection Bad"	0	0	29	"40"	"0"	4	1	10
8	"Reflection Bad"	40	0	38	"40"	"0"	2	1	9
8	"Intuition Good"	40	0	43	"40"	"0"	1	1	9
8	"Reflection Good"	40	0	56	"40"	"0"	5	1	9
8	"Reflection Good"	0	0	28	"40"	"0"	3	1	9
8	"Intuition Good"	40	0	27	"40"	"0"	2	1	10
8	"Reflection Bad"	40	0	55	"40"	"0"	3	1	9
8	"Intuition Bad"	0	0	22	"40"	"0"	3	1	8
8	"Reflection Good"	40	0	30	"40"	"0"	1	1	10
8	"Reflection Good"	40	0	57	"40"	"0"	1	1	9
8	"Intuition Bad"	40	0	42	"40"	"0"	3	1	11
8	"Reflection Bad"	40	0	31	"40"	"40"	3	1	13
8	"Reflection Good"	20	0	41	"40"	"0"	3	1	8
8	"Intuition Bad"	40	0	31	"40"	"40"	3	1	9
8	"Intuition Good"	20	0	26	"40"	"0"	1	1	9
8	"Reflection Good"	0	0	34	"40"	"0"	3	1	8
8	"Reflection Good"	0	0	70	"40"	"0"	3	1	25
8	"Reflection Good"	0	0	45	"40"	"0"	4	1	8
8	"Intuition Bad"	40	0	69	"40"	"0"	3	1	8
8	"Reflection Bad"	40	0	40	"40"	"0"	5	1	10
8	"Reflection Bad"	0	0	38	"40"	"0"	2	1	8
8	"Intuition Bad"	0	0	34	"40"	"0"	3	1	10
8	"Reflection Good"	4	0	33	"40"	"0"	2	1	9
8	"Intuition Good"	40	0	28	"40"	"40"	3	1	9
8	"Reflection Bad"	20	0	45	"40"	"0"	4	1	9
8	"Reflection Bad"	40	0	30	"40"	"0"	3	1	8
8	"Reflection Bad"	40	0	31	"40"	"0"	4	1	8
8	"Intuition Good"	20	0	32	"40"	"0"	2	1	14
8	"Intuition Good"	20	0	34	"40"	"20"	3	1	11
8	"Reflection Bad"	10	0	25	"40"	"0"	1	1	8
8	"Intuition Bad"	40	0	24	"40"	"0"	3	1	8
8	"Intuition Good"	40	0	52	"40"	"0"	3	1	8
8	"Reflection Good"	40	0	31	"40"	"0"	3	1	8
8	"Intuition Good"	0	0	36	"40"	"0"	2	1	8
8	"Reflection Good"	40	0	39	"40"	"0"	3	1	8
8	"Reflection Bad"	40	0	52	"40"	"0"	2	1	10
8	"Intuition Bad"	14	0	27	"40"	"0"	4	1	8
8	"Reflection Bad"	40	0	33	"40"	"0"	2	1	11
8	"Intuition Bad"	40	0	36	"40"	"20"	3	1	8
8	"Reflection Good"	0	0	33	"40"	"0"	3	1	9
8	"Reflection Good"	20	0	26	"40"	"0"	3	1	10
8	"Intuition Bad"	0	0	27	"40"	"0"	3	1	8
8	"Reflection Bad"	40	0	25	"40"	"0"	1	1	9
8	"Intuition Good"	20	0	31	"36"	"36"	3	1	10
8	"Intuition Bad"	0	0	45	"40"	"0"	3	1	10
8	"Reflection Good"	0	0	52	"40"	"0"	3	1	8
8	"Reflection Bad"	0	0	32	"40"	"0"	1	1	8
8	"Intuition Good"	40	0	40	"40"	"0"	3	1	9
8	"Intuition Bad"	0	0	25	"40"	"0"	2	1	8
8	"Reflection Good"	10	0	25	"40"	"0"	3	1	8
8	"Reflection Bad"	0	0	26	"40"	"0"	2	1	10
8	"Intuition Good"	0	0	32	"40"	"0"	3	1	9
8	"Reflection Bad"	0	0	33	"40"	"0"	3	1	8
8	"Reflection Bad"	20	0	41	"40"	"0"	3	1	8
8	"Intuition Bad"	40	0	23	"40"	"0"	3	1	11
8	"Intuition Bad"	40	0	29	"40"	"0"	3	1	10
8	"Intuition Bad"	0	0	26	"40"	"0"	3	1	8
8	"Reflection Good"	40	0	31	"40"	"40"	1	1	9
8	"Reflection Bad"	40	0	29	"40"	"0"	2	1	9
8	"Intuition Bad"	10	0	27	"40"	"0"	3	1	8
8	"Reflection Good"	0	1	20	"40"	"0"	3	1	10
8	"Reflection Bad"	8	0	22	"40"	"0"	3	1	9
8	"Intuition Bad"	0	0	26	"40"	"0"	3	1	9
8	"Intuition Bad"	0	0	46	"40"	"0"	3	1	9
8	"Intuition Bad"	20	1	34	"40"	"0"	2	1	9
8	"Reflection Good"	0	0	25	"40"	"0"	1	1	9
8	"Reflection Good"	40	1	22	"40"	"0"	4	1	9
8	"Intuition Bad"	0	0	56	"40"	"0"	3	1	9
8	"Reflection Bad"	0	1	30	"40"	"0"	2	1	8
8	"Intuition Good"	2	0	30	"14"	"14"	4	1	8
8	"Reflection Good"	40	1	37	"40"	"0"	3	1	11
8	"Intuition Good"	40	1	40	"40"	"40"	1	1	8
8	"Reflection Good"	40	1	50	"40"	"0"	3	1	8
8	"Intuition Good"	40	1	35	"40"	"0"	3	1	9
8	"Intuition Bad"	0	0	22	"40"	"0"	1	1	10
8	"Intuition Bad"	6	1	31	"40"	"40"	3	1	8
8	"Intuition Bad"	0	0	27	"40"	"0"	1	1	8
8	"Intuition Bad"	0	1	40	"40"	"0"	1	1	12
8	"Intuition Good"	0	0	22	"40"	"0"	5	1	9
8	"Intuition Bad"	10	0	60	"40"	"0"	2	1	8
8	"Reflection Good"	10	1	34	"40"	"0"	3	1	8
8	"Reflection Good"	40	1	60	"40"	"0"	3	1	11
8	"Reflection Bad"	0	0	28	"40"	"0"	3	1	9
8	"Intuition Bad"	40	1	35	"40"	"0"	2	1	9
8	"Reflection Good"	10	1	35	"40"	"0"	3	1	10
8	"Reflection Bad"	40	0	50	"40"	"0"	1	1	10
8	"Intuition Bad"	0	0	31	"40"	"0"	3	1	10
8	"Reflection Good"	40	1	36	"40"	"0"	3	1	8
8	"Reflection Good"	0	0	30	"40"	"0"	1	1	9
8	"Intuition Bad"	30	1	32	"40"	"0"	3	1	8
8	"Reflection Bad"	18	0	27	"40"	"0"	3	1	8
8	"Reflection Good"	16	0	33	"40"	"26"	2	1	12
8	"Intuition Good"	20	0	50	"40"	"0"	3	1	9
8	"Reflection Good"	20	1	57	"40"	"10"	3	1	14
8	"Reflection Good"	0	0	26	"40"	"0"	1	1	19
8	"Reflection Good"	40	1	40	"40"	"0"	3	1	9
8	"Intuition Good"	0	0	51	"40"	"0"	3	1	9
8	"Intuition Bad"	4	0	29	"40"	"0"	4	1	11
8	"Reflection Bad"	10	1	32	"40"	"0"	3	1	10
8	"Reflection Good"	0	0	32	"40"	"0"	4	1	8
8	"Intuition Good"	0	1	64	"40"	"0"	4	1	10
8	"Reflection Bad"	40	0	35	"40"	"0"	5	1	8
8	"Intuition Bad"	40	1	49	"40"	"0"	3	1	8
8	"Reflection Bad"	40	0	32	"40"	"40"	3	1	9
8	"Reflection Bad"	40	1	61	"40"	"0"	3	1	14
8	"Intuition Good"	8	1	31	"16"	"8"	3	1	8
8	"Reflection Bad"	0	1	38	"40"	"0"	3	1	9
8	"Reflection Good"	40	0	67	"40"	"40"	3	1	10
8	"Intuition Bad"	40	1	60	"40"	"0"	4	1	10
8	"Reflection Bad"	40	0	31	"40"	"0"	2	1	9
8	"Intuition Bad"	0	0	33	"40"	"0"	3	1	8
8	"Intuition Good"	40	0	26	"40"	"0"	2	1	8
8	"Intuition Good"	20	0	45	"22"	"22"	2	1	8
8	"Intuition Good"	14	1	43	"20"	"40"	4	1	9
8	"Reflection Good"	0	0	30	"40"	"0"	2	1	10
8	"Intuition Bad"	0	0	45	"40"	"0"	2	1	11
8	"Reflection Bad"	40	1	23	"40"	"40"	2	1	9
8	"Intuition Bad"	0	0	28	"40"	"0"	3	1	8
8	"Intuition Bad"	40	0	31	"40"	"0"	3	1	10
8	"Reflection Bad"	0	1	37	"40"	"0"	3	1	8
8	"Reflection Bad"	40	0	61	"40"	"0"	2	1	8
8	"Intuition Good"	40	1	21	"40"	"0"	3	1	9
8	"Intuition Bad"	10	0	28	"40"	"0"	3	1	8
8	"Intuition Good"	40	1	48	"40"	"0"	4	1	12
8	"Reflection Bad"	40	0	31	"40"	"40"	3	1	9
8	"Intuition Bad"	40	1	61	"40"	"2"	3	1	12
8	"Reflection Bad"	40	0	34	"40"	"0"	4	1	11
8	"Intuition Good"	30	0	30	"40"	"20"	2	1	10
8	"Reflection Bad"	0	1	38	"40"	"0"	3	1	9
8	"Reflection Bad"	20	1	34	"40"	"0"	3	1	8
8	"Intuition Bad"	40	0	26	"40"	"40"	3	1	10
8	"Intuition Bad"	0	0	39	"40"	"0"	3	1	8
8	"Intuition Good"	0	1	24	"40"	"0"	3	1	9
8	"Reflection Bad"	40	1	37	"40"	"0"	1	1	8
8	"Intuition Good"	40	0	25	"40"	"0"	2	1	11
8	"Reflection Bad"	4	0	36	"40"	"0"	1	1	10
8	"Intuition Bad"	40	1	47	"40"	"0"	2	1	9
8	"Reflection Good"	40	1	34	"40"	"0"	3	1	9
8	"Reflection Bad"	40	0	64	"40"	"0"	2	1	9
8	"Reflection Good"	40	0	20	"40"	"40"	3	1	10
8	"Reflection Good"	40	1	30	"40"	"20"	3	1	8
8	"Reflection Good"	0	0	53	"40"	"0"	3	1	8
8	"Reflection Bad"	0	1	51	"40"	"0"	3	1	9
8	"Intuition Good"	2	1	26	"20"	"40"	3	1	10
8	"Intuition Bad"	40	1	51	"40"	"0"	3	1	11
8	"Reflection Good"	0	1	33	"40"	"0"	1	1	8
8	"Reflection Bad"	0	1	36	"40"	"0"	3	1	8
8	"Intuition Bad"	40	0	30	"40"	"0"	3	1	11
8	"Reflection Good"	20	0	41	"40"	"0"	3	1	10
8	"Reflection Good"	20	1	48	"40"	"40"	2	1	8
8	"Reflection Bad"	10	1	60	"40"	"0"	2	1	12
8	"Reflection Bad"	40	1	40	"40"	"0"	3	1	12
8	"Reflection Bad"	0	1	36	"40"	"0"	4	1	10
8	"Intuition Bad"	30	1	65	"40"	"40"	3	1	8
8	"Intuition Bad"	20	0	23	"24"	"22"	3	1	9
8	"Reflection Good"	40	1	34	"40"	"0"	3	1	9
8	"Intuition Bad"	0	1	63	"40"	"0"	3	1	9
8	"Intuition Bad"	20	1	25	"40"	"0"	3	1	9
8	"Reflection Bad"	0	1	23	"40"	"0"	3	1	8
8	"Intuition Bad"	30	1	58	"40"	"0"	4	1	10
8	"Reflection Good"	40	1	47	"40"	"0"	1	1	14
8	"Intuition Good"	0	0	32	"40"	"0"	3	1	8
8	"Intuition Bad"	2	0	35	"40"	"0"	3	1	10
8	"Intuition Good"	40	0	28	"40"	"0"	3	1	8
8	"Reflection Good"	0	0	25	"40"	"0"	3	1	9
8	"Reflection Good"	40	0	28	"40"	"0"	4	1	13
8	"Intuition Bad"	40	0	28	"40"	"0"	3	1	9
8	"Reflection Good"	20	1	30	"40"	"0"	3	1	8
8	"Intuition Bad"	20	0	26	"40"	"0"	4	1	8
8	"Intuition Bad"	0	0	24	"0"	"0"	2	1	10
8	"Intuition Good"	40	0	71	"40"	"0"	3	1	9
8	"Intuition Bad"	20	0	51	"40"	"0"	4	1	8
8	"Intuition Good"	6	0	34	"40"	"0"	3	1	13
8	"Reflection Good"	2	1	63	"40"	"0"	4	1	8
8	"Intuition Good"	20	0	54	"40"	"40"	3	1	8
8	"Intuition Bad"	40	0	36	"40"	"0"	5	1	8
8	"Intuition Good"	0	0	32	"40"	"0"	3	1	9
8	"Intuition Bad"	40	1	59	"40"	"0"	3	1	11
8	"Intuition Good"	10	1	53	"40"	"0"	3	1	8
8	"Intuition Good"	0	0	32	"40"	"0"	3	1	9
8	"Reflection Good"	40	0	37	"40"	"40"	3	1	10
8	"Reflection Good"	40	1	70	"40"	"0"	3	1	9
8	"Reflection Good"	40	0	20	"40"	"0"	3	1	8
8	"Reflection Bad"	0	1	50	"40"	"0"	2	1	10
8	"Reflection Bad"	40	1	29	"40"	"0"	1	1	8
8	"Intuition Bad"	34	0	25	"40"	"0"	1	1	8
8	"Intuition Good"	40	1	62	"40"	"40"	3	1	10
8	"Reflection Good"	40	0	55	"40"	"0"	4	1	8
8	"Reflection Bad"	0	0	33	"40"	"0"	4	1	13
8	"Intuition Good"	6	1	29	"40"	"0"	1	1	8
8	"Reflection Bad"	40	1	30	"40"	"0"	3	1	9
8	"Intuition Bad"	14	1	28	"40"	"0"	1	1	8
8	"Reflection Good"	40	1	52	"40"	"40"	3	1	10
8	"Intuition Good"	0	1	35	"40"	"0"	3	1	8
8	"Intuition Bad"	20	1	34	"40"	"0"	3	1	9
8	"Intuition Good"	20	1	45	"40"	"0"	2	1	9
8	"Reflection Good"	40	1	40	"40"	"0"	3	1	8
8	"Reflection Bad"	0	0	25	"40"	"0"	2	1	10
8	"Reflection Bad"	40	0	31	"40"	"40"	2	1	8
8	"Intuition Bad"	10	0	35	"40"	"0"	3	1	8
8	"Reflection Good"	0	1	26	"40"	"0"	1	1	9
8	"Intuition Bad"	40	1	61	"40"	"0"	4	1	8
8	"Reflection Good"	18	0	29	"40"	"0"	3	1	8
8	"Intuition Bad"	40	1	34	"40"	"40"	1	1	10
8	"Reflection Bad"	20	1	29	"40"	"0"	1	1	11
8	"Reflection Good"	40	1	30	"40"	"0"	5	1	8
8	"Intuition Bad"	40	1	54	"40"	"0"	3	1	9
8	"Reflection Good"	40	0	42	"40"	"40"	1	1	8
8	"Intuition Bad"	20	0	37	"40"	"40"	2	1	8
8	"Intuition Bad"	20	1	42	"40"	"0"	3	1	10
8	"Reflection Bad"	12	1	27	"40"	"0"	3	1	9
8	"Reflection Bad"	40	1	45	"40"	"40"	4	1	9
8	"Reflection Bad"	30	0	29	"40"	"0"	2	1	10
8	"Intuition Good"	40	0	30	"40"	"0"	4	1	8
8	"Reflection Bad"	0	1	47	"40"	"0"	2	1	8
8	"Intuition Bad"	40	1	39	"40"	"40"	3	1	10
8	"Reflection Good"	0	0	27	"40"	"0"	1	1	9
8	"Reflection Good"	40	1	36	"40"	"0"	2	1	10
8	"Intuition Bad"	20	1	38	"40"	"40"	1	1	21
8	"Intuition Bad"	0	1	36	"40"	"0"	3	1	8
8	"Intuition Bad"	20	1	45	"40"	"40"	2	1	11
8	"Intuition Good"	40	1	38	"40"	"0"	1	1	13
8	"Intuition Bad"	6	1	57	"40"	"0"	2	1	12
8	"Intuition Good"	40	0	52	"40"	"0"	3	1	9
8	"Intuition Bad"	40	0	47	"40"	"40"	2	1	8
8	"Intuition Bad"	20	1	38	"40"	"0"	1	1	9
8	"Intuition Good"	20	0	31	"40"	"0"	1	1	9
8	"Reflection Bad"	0	1	68	"40"	"0"	3	1	8
8	"Reflection Good"	8	1	24	"40"	"0"	1	1	13
8	"Intuition Good"	40	1	31	"40"	"0"	2	1	8
8	"Intuition Good"	0	0	42	"40"	"0"	4	1	10
8	"Intuition Bad"	40	1	42	"40"	"0"	3	1	15
8	"Reflection Good"	0	0	28	"40"	"0"	1	1	9
8	"Reflection Bad"	40	0	42	"40"	"40"	2	1	8
8	"Intuition Good"	40	0	37	"40"	"0"	2	1	8
8	"Reflection Bad"	24	1	30	"24"	"40"	1	1	11
8	"Reflection Bad"	40	1	32	"40"	"0"	3	1	9
8	"Intuition Bad"	4	0	32	"40"	"0"	3	1	10
8	"Intuition Bad"	0	0	60	"40"	"0"	4	1	8
8	"Reflection Bad"	40	0	27	"40"	"40"	3	1	10
8	"Intuition Good"	30	0	34	"40"	"0"	2	1	8
8	"Intuition Good"	0	1	31	"40"	"0"	2	1	10
8	"Intuition Good"	40	1	26	"40"	"40"	3	1	8
8	"Reflection Bad"	40	1	31	"40"	"0"	4	1	8
8	"Intuition Bad"	40	1	29	"40"	"0"	3	1	8
8	"Reflection Bad"	0	1	37	"40"	"0"	4	1	9
8	"Reflection Good"	40	0	28	"40"	"40"	1	1	8
8	"Reflection Bad"	0	0	26	"40"	"0"	1	1	8
8	"Intuition Good"	40	0	24	"40"	"0"	3	1	8
